iter	MultiClass
0	0.6894144226
1	0.6866449464
2	0.6838431255
3	0.680565172
4	0.6767786997
5	0.6729740694
6	0.6700320169
7	0.6660484941
8	0.6627103562
9	0.6603339673
10	0.6568987616
11	0.6545593871
12	0.651835719
13	0.6486990267
14	0.6453774114
15	0.6419429405
16	0.6386775783
17	0.6367575622
18	0.6340576176
19	0.6315989882
20	0.6297193308
21	0.6274405936
22	0.6249201028
23	0.6227776357
24	0.620894644
25	0.6184574002
26	0.6162552106
27	0.6144879489
28	0.6127549728
29	0.6118006448
30	0.6107836441
31	0.6090963268
32	0.6073387429
33	0.605964921
34	0.6036518316
35	0.6021094315
36	0.6001338718
37	0.5974214592
38	0.5961568339
39	0.5942601859
40	0.5920503911
41	0.5900116644
42	0.5886087898
43	0.5867449579
44	0.5850134512
45	0.5835450096
46	0.5827206974
47	0.5803664976
48	0.5781832055
49	0.5765841467
50	0.5754271071
51	0.5733184482
52	0.5713929262
53	0.5696970219
54	0.5681791313
55	0.567161291
56	0.566087867
57	0.5651394464
58	0.5631271899
59	0.5615463205
60	0.5599551461
61	0.5588877265
62	0.5584585989
63	0.5575577178
64	0.5563804537
65	0.5557243029
66	0.5541096866
67	0.5529120335
68	0.5518222118
69	0.5503872666
70	0.5493948982
71	0.5480875588
72	0.5466025208
73	0.5453033897
74	0.5442465775
75	0.5432611441
76	0.5423705087
77	0.5407928045
78	0.5401421349
79	0.5393314645
80	0.5379619021
81	0.5370835106
82	0.5358964959
83	0.5349436066
84	0.5343330528
85	0.5334825627
86	0.5326642133
87	0.5314009498
88	0.5302028
89	0.5291717112
90	0.5282924863
91	0.5266609115
92	0.525190918
93	0.5237682915
94	0.5228048211
95	0.5216436999
96	0.5208838367
97	0.5197901284
98	0.5184617464
99	0.5175303757
100	0.5163043116
101	0.5149517192
102	0.5140830641
103	0.5133639839
104	0.512383109
105	0.5115640913
106	0.5103331516
107	0.5096435304
108	0.5081103647
109	0.5073101442
110	0.5066138742
111	0.5059791199
112	0.5053759335
113	0.5043694672
114	0.5030523779
115	0.5020754251
116	0.5010377974
117	0.5001657658
118	0.4985943239
119	0.4976120949
120	0.4968471615
121	0.4956854781
122	0.4948201313
123	0.4938942018
124	0.4930528843
125	0.492619551
126	0.4918869397
127	0.4909571339
128	0.4902750715
129	0.4888664194
130	0.4883370069
