iter	Passed	Remaining
0	7	21917
1	14	22233
2	21	21285
3	27	20579
4	33	19978
5	39	19676
6	45	19436
7	51	19129
8	56	18781
9	61	18514
10	67	18458
11	73	18239
12	79	18189
13	84	18082
14	90	17998
15	96	17925
16	101	17784
17	107	17799
18	113	17810
19	119	17798
20	125	17767
21	130	17712
22	136	17644
23	141	17584
24	147	17508
25	152	17487
26	158	17461
27	164	17441
28	169	17385
29	175	17374
30	181	17346
31	186	17342
32	192	17317
33	198	17276
34	203	17207
35	208	17204
36	214	17152
37	219	17089
38	225	17101
39	231	17113
40	237	17123
41	243	17135
42	249	17131
43	255	17131
44	260	17117
45	265	17065
46	271	17083
47	277	17050
48	282	17022
49	288	17039
50	294	17016
51	299	16967
52	304	16933
53	309	16905
54	315	16874
55	320	16858
56	326	16846
57	332	16848
58	338	16851
59	343	16853
60	350	16871
61	355	16853
62	361	16835
63	366	16827
64	372	16824
65	378	16820
66	384	16837
67	391	16875
68	397	16892
69	404	16934
70	410	16947
71	416	16949
72	422	16940
73	428	16939
74	434	16928
75	439	16911
76	445	16909
77	450	16885
78	456	16888
79	462	16884
80	468	16868
81	473	16864
82	479	16848
83	484	16820
84	490	16805
85	495	16793
86	501	16777
87	506	16777
88	512	16751
89	517	16734
90	523	16725
91	528	16716
92	534	16704
93	539	16683
94	544	16659
95	550	16662
96	556	16661
97	562	16660
98	568	16652
99	573	16642
100	579	16639
101	584	16619
102	590	16615
103	596	16605
104	602	16598
105	607	16592
106	613	16576
107	618	16565
108	624	16561
109	630	16557
110	635	16544
111	641	16532
112	646	16517
113	652	16507
114	657	16489
115	662	16477
116	668	16475
117	673	16453
118	679	16450
119	684	16433
120	689	16415
121	695	16399
122	700	16384
123	705	16371
124	711	16363
125	716	16348
126	722	16345
127	728	16345
128	733	16335
129	739	16316
130	744	16303
131	749	16289
132	755	16277
133	760	16272
134	766	16257
135	771	16244
136	777	16240
137	782	16231
138	788	16221
139	793	16214
140	799	16215
141	805	16211
142	811	16205
143	816	16199
144	822	16195
145	828	16188
146	833	16180
147	839	16170
148	844	16157
149	849	16147
150	855	16136
151	860	16123
152	865	16102
153	870	16090
154	876	16080
155	882	16080
156	887	16073
157	892	16059
158	898	16049
159	903	16045
160	909	16037
161	914	16026
162	920	16014
163	925	16007
164	931	15998
165	936	15987
166	941	15976
167	946	15963
168	952	15957
169	958	15949
170	963	15936
171	968	15925
172	974	15918
173	979	15914
174	985	15909
175	990	15899
176	996	15888
177	1001	15881
178	1007	15874
179	1013	15870
180	1018	15866
181	1024	15858
182	1029	15845
183	1034	15833
184	1040	15828
185	1045	15818
186	1050	15809
187	1056	15799
188	1061	15794
189	1069	15820
190	1077	15845
191	1085	15869
192	1091	15874
193	1099	15897
194	1105	15897
195	1110	15887
196	1115	15877
197	1121	15870
198	1126	15860
199	1132	15852
200	1137	15839
201	1142	15826
202	1147	15815
203	1153	15811
204	1159	15809
205	1164	15797
206	1170	15791
207	1175	15783
208	1181	15772
209	1186	15764
210	1192	15756
211	1197	15749
212	1203	15741
213	1208	15731
214	1213	15721
215	1219	15719
216	1225	15711
217	1230	15701
218	1235	15690
219	1241	15685
220	1246	15675
221	1251	15664
222	1257	15661
223	1263	15655
224	1268	15644
225	1273	15634
226	1279	15625
227	1284	15619
228	1290	15611
229	1295	15606
230	1301	15598
231	1307	15594
232	1312	15589
233	1318	15582
234	1323	15577
235	1329	15573
236	1335	15563
237	1340	15557
238	1346	15557
239	1352	15552
240	1357	15543
241	1363	15535
242	1368	15528
243	1374	15521
244	1380	15521
245	1385	15511
246	1391	15505
247	1396	15495
248	1401	15484
249	1407	15485
250	1413	15483
251	1419	15476
252	1424	15467
253	1429	15458
254	1434	15445
255	1439	15433
256	1445	15427
257	1450	15420
258	1456	15411
259	1461	15405
260	1467	15399
261	1472	15390
262	1477	15379
263	1483	15374
264	1489	15371
265	1494	15362
